id,camera_path,device,viewport,timestep,ao-NA-1-NA,ao-NA-5-NA,pathtracer-NA-NA-10,pathtracer-NA-NA-5,scivis-false-1-NA,scivis-false-5-NA,scivis-true-1-NA,scivis-true-5-NA,umap_x,umap_y,seq
50,complex-planes,AMD Ryzen 7 1800X,1024,6,82.1679,71.9083,31.5202,38.4473,80.4635,67.7695,79.9399,66.1914,3.5865557,2.2224827,5
51,complex-planes,AMD Ryzen 7 1800X,1024,7,81.8746,72.0664,32.0499,38.9576,80.1051,68.1677,80.1854,67.8619,3.3521063,2.0258942,5
52,complex-planes,AMD Ryzen 7 1800X,1024,8,81.8076,71.8912,32.2027,39.1132,81.0892,68.1166,80.1905,67.974,3.3465745,2.5413089,5
53,complex-planes,AMD Ryzen 7 1800X,1024,9,81.7247,71.8401,32.1365,39.1212,80.4376,68.1069,80.6744,68.0439,3.008951,1.8593642,5
54,complex-planes,AMD Ryzen 7 1800X,1024,10,82.0109,71.7891,32.0983,38.8511,80.5134,67.7465,80.3226,67.7847,3.055789,1.9232827,5
55,complex-planes,AMD Ryzen 7 1800X,2048,0,20.5396,17.7676,7.0308,8.8922,20.1839,16.4707,19.5526,16.0203,1.3405054,-0.6765805,6
56,complex-planes,AMD Ryzen 7 1800X,2048,1,20.775,17.8427,6.9798,8.845,20.2483,15.894,19.5635,15.9405,1.2705162,-0.55796885,6
57,complex-planes,AMD Ryzen 7 1800X,2048,2,20.7073,17.699,6.899,8.7457,20.0949,16.289,19.6498,15.9623,1.5260311,-0.9564737,6
58,complex-planes,AMD Ryzen 7 1800X,2048,3,20.611,17.895,7.0721,8.9042,20.2215,16.4082,19.92,16.125,1.3702205,-0.34245035,6
59,complex-planes,AMD Ryzen 7 1800X,2048,4,20.7887,17.8272,7.3261,9.1641,20.3315,16.6821,20.0382,16.4072,1.1861833,-0.63817894,6
60,complex-planes,AMD Ryzen 7 1800X,2048,5,20.7632,18.2095,7.6718,9.5162,20.4008,17.0823,20.2214,16.8225,1.4699007,-0.40341997,6
61,complex-planes,AMD Ryzen 7 1800X,2048,6,21.1203,18.4323,8.0447,9.8994,20.7287,17.4183,20.4888,17.3258,1.3217573,-0.45832217,6
62,complex-planes,AMD Ryzen 7 1800X,2048,7,21.0611,18.4829,8.1751,9.9155,20.4059,17.4704,20.587,17.3805,1.326923,-0.74304885,6
63,complex-planes,AMD Ryzen 7 1800X,2048,8,21.0167,18.3974,8.2771,10.0163,20.6723,17.4876,20.5562,17.3991,1.3284981,-0.5406291,6
64,complex-planes,AMD Ryzen 7 1800X,2048,9,20.9695,18.4134,8.2756,10.024,20.6332,17.4673,20.7172,17.4186,1.1430883,-0.8890453,6
65,complex-planes,AMD Ryzen 7 1800X,2048,10,20.8993,18.3782,8.2115,9.9711,20.7047,17.3403,20.6135,17.4002,1.179032,-0.90300554,6
66,complex-planes,AMD Ryzen 9 3900X,512,0,568.9156,501.5825,198.4135,256.2716,553.8387,461.3674,539.0225,449.1415,4.0122533,3.6173694,7
67,complex-planes,AMD Ryzen 9 3900X,512,1,572.233,483.0148,196.5996,254.659,556.6348,459.8251,542.897,444.5511,3.7449489,4.034234,7
68,complex-planes,AMD Ryzen 9 3900X,512,2,565.2783,496.6624,195.1806,243.9977,556.5016,456.9924,537.3859,443.7679,3.712724,3.5941656,7
69,complex-planes,AMD Ryzen 9 3900X,512,3,568.3465,502.9017,200.3237,256.0918,556.8456,459.3351,546.2421,447.3372,3.424318,3.4638126,7
70,complex-planes,AMD Ryzen 9 3900X,512,4,567.8656,504.2101,206.7256,262.4211,558.4845,467.5956,548.8776,456.5814,3.5196447,3.4556148,7
71,complex-planes,AMD Ryzen 9 3900X,512,5,569.4858,506.542,215.1875,271.6454,563.1709,473.5229,555.3982,469.6732,3.6866145,3.1419868,7
72,complex-planes,AMD Ryzen 9 3900X,512,6,556.9789,512.0721,224.9724,281.2742,565.8733,471.4935,564.1781,481.8952,3.600308,2.7401252,7
73,complex-planes,AMD Ryzen 9 3900X,512,7,573.7333,512.4106,227.4692,283.3656,573.3879,482.5044,563.6884,482.1461,3.2509274,2.4530716,7
74,complex-planes,AMD Ryzen 9 3900X,512,8,574.8118,516.0677,224.8136,285.4443,567.4918,484.691,565.0516,482.7303,2.9794195,2.7374682,7
75,complex-planes,AMD Ryzen 9 3900X,512,9,575.5594,512.1246,230.3521,285.3596,568.014,483.2178,563.9521,481.0653,3.0851443,2.2547922,7
76,complex-planes,AMD Ryzen 9 3900X,512,10,573.1283,514.2261,229.9073,284.7275,565.5724,481.7373,564.7197,481.0653,3.347697,1.9731749,7
77,complex-planes,AMD Ryzen 9 3900X,1024,0,163.4064,141.4517,56.2854,72.2569,159.9816,130.8722,154.8345,126.7294,3.5661771,4.0184608,8
