id,camera_path,device,viewport,timestep,quad_tess,geo_quad,stpa,quad_inst,poly_tess,umap_x,umap_y,seq
57,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,19,446.2114,505.7095,503.6312,224.0113,157.5106,-0.7352108,3.38573,6
58,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,29,428.0474,503.7555,501.9929,224.0133,154.3358,-0.61618125,3.1726894,6
59,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,39,399.7793,480.5659,479.5565,223.9958,134.1695,-0.69196373,2.9982173,6
60,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,49,365.6173,412.6877,412.2997,223.9732,144.064,-0.91842085,2.641236,6
61,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,59,334.3028,356.138,353.5643,223.9692,137.1546,-0.44983265,2.4274313,6
62,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,69,324.7998,344.9549,335.7936,223.9677,135.3902,-0.044918537,2.370047,6
63,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,79,340.2194,364.2722,10.7531,223.8995,141.5196,-0.40075204,1.9365152,6
64,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,89,355.3585,371.8136,62.0132,224.0013,125.0913,-0.34076104,0.83058846,6
65,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,99,354.4616,368.9315,87.058,224.0264,132.8434,-0.90881616,1.3544816,6
66,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,0,639.7666,675.8309,676.9931,563.2248,263.7298,5.2018437,-1.2547929,7
67,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,9,598.3939,609.4291,604.5364,562.8602,260.4886,5.7532845,-1.2145016,7
68,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,19,554.9143,558.2008,556.1302,562.5468,256.183,6.064481,-1.3813587,7
69,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,29,508.1043,510.2379,508.8955,561.5706,241.4263,5.6230354,-0.9404503,7
70,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,39,458.4843,468.7156,468.1582,561.2334,236.0032,5.267905,-0.21974197,7
71,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,49,418.771,435.1951,433.6457,560.4816,239.9785,5.1841164,-0.18193552,7
72,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,59,402.7111,405.8919,391.016,542.2758,233.3799,5.753801,-0.5614588,7
73,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,69,310.3768,309.294,283.8861,359.6915,200.6312,5.043215,-0.16382912,7
74,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,79,343.4408,327.8807,3.7846,370.9667,205.0323,5.552095,0.14941928,7
75,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,89,423.1264,401.9729,23.8728,445.3113,208.0018,6.056664,0.62127,7
76,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,99,419.5863,389.3884,35.3451,417.622,220.5938,6.3723364,0.5164956,7
77,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,0,414.9653,427.5697,426.918,556.951,239.5887,2.3995237,-1.0996351,8
78,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,9,406.8183,418.4135,417.6185,558.3785,236.9455,2.4126399,-0.7338379,8
79,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,19,397.2368,406.2266,404.3786,554.6189,225.4049,2.9506829,-0.42749894,8
80,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,29,388.2274,390.1617,391.3343,526.4876,230.7561,4.1230693,-0.6534661,8
81,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,39,389.938,377.9447,379.1009,508.1094,209.6986,4.506655,-0.076866515,8
82,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,49,372.8185,356.9351,353.9071,440.2862,199.8094,4.370161,-0.08876414,8
83,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,59,267.8473,265.66,239.8248,296.5625,184.3821,2.5858967,-0.11129899,8
84,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,69,134.5875,133.2395,115.6174,139.3398,111.7041,1.0758073,0.36342114,8
85,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,79,146.0942,142.3064,0.9517,148.2371,113.4229,0.1054626,0.6946565,8
86,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,89,201.1295,197.7856,6.1336,203.0915,146.3347,-0.0042293495,0.18011393,8
87,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,99,167.263,164.9343,9.1478,172.9496,125.4979,-0.88090026,0.20246886,8
88,diagonal_x,NVIDIA TITAN X (Pascal),512 512,0,748.3238,879.8015,878.2176,563.8504,280.2612,9.641651,-2.2273893,9
89,diagonal_x,NVIDIA TITAN X (Pascal),512 512,9,747.753,875.8408,874.6764,564.1622,252.8407,9.719877,-2.4540422,9
90,diagonal_x,NVIDIA TITAN X (Pascal),512 512,19,741.2953,867.2952,865.8309,563.1836,276.3003,10.234962,-2.3668892,9
91,diagonal_x,NVIDIA TITAN X (Pascal),512 512,29,720.7259,834.3206,835.7989,563.0472,272.9377,9.61584,-2.5910552,9
92,diagonal_x,NVIDIA TITAN X (Pascal),512 512,39,671.6458,726.9291,724.7952,562.5499,245.4928,8.799995,-1.9243062,9
93,diagonal_x,NVIDIA TITAN X (Pascal),512 512,49,600.2293,619.69,624.438,562.5626,240.3858,8.035648,-1.1670258,9
94,diagonal_x,NVIDIA TITAN X (Pascal),512 512,59,531.3186,548.1975,543.1417,562.221,252.018,7.2569523,-1.3432423,9
95,diagonal_x,NVIDIA TITAN X (Pascal),512 512,69,494.4694,518.2287,506.1292,561.2523,246.2054,7.508127,-0.49348328,9
96,diagonal_x,NVIDIA TITAN X (Pascal),512 512,79,528.1616,544.6564,14.8746,553.0148,253.8516,7.108348,-0.11167387,9
97,diagonal_x,NVIDIA TITAN X (Pascal),512 512,89,551.7363,541.9614,86.4678,562.2178,256.663,6.755428,0.48003927,9
98,diagonal_x,NVIDIA TITAN X (Pascal),512 512,99,565.7997,539.6945,122.208,557.0906,254.5514,7.1625476,-0.051546253,9
99,diagonal_x,NVIDIA TITAN Xp,1024 1024,0,607.6922,605.8146,606.601,554.5512,278.6594,4.8820252,-1.2651374,10
100,diagonal_x,NVIDIA TITAN Xp,1024 1024,9,562.3854,518.909,519.324,553.1708,274.5141,4.9726562,-1.0748936,10
101,diagonal_x,NVIDIA TITAN Xp,1024 1024,19,489.9967,445.1052,443.6912,504.8414,269.1739,3.6777155,-0.6970321,10
102,diagonal_x,NVIDIA TITAN Xp,1024 1024,29,446.5342,404.1416,402.2219,483.9264,263.7652,4.46489,-0.65961635,10
103,diagonal_x,NVIDIA TITAN Xp,1024 1024,39,409.7185,369.0078,368.3757,456.7649,257.1593,4.135606,-0.1952127,10
104,diagonal_x,NVIDIA TITAN Xp,1024 1024,49,388.1415,352.295,352.1685,435.4794,251.5647,4.5199404,-0.113806635,10
105,diagonal_x,NVIDIA TITAN Xp,1024 1024,59,371.6698,337.9109,327.5402,417.6167,244.9684,4.918601,-0.31393203,10
106,diagonal_x,NVIDIA TITAN Xp,1024 1024,69,289.8668,277.1173,257.3625,314.5228,202.5682,4.8848915,-0.24053897,10
107,diagonal_x,NVIDIA TITAN Xp,1024 1024,79,331.15,300.9003,4.0438,348.5231,214.5113,5.4624715,0.144992,10
108,diagonal_x,NVIDIA TITAN Xp,1024 1024,89,421.1307,379.6896,25.3202,439.4967,237.2023,5.868809,0.5337907,10
109,diagonal_x,NVIDIA TITAN Xp,1024 1024,99,430.8024,393.7907,37.5587,421.2957,232.0476,6.402481,0.5238237,10
110,diagonal_x,NVIDIA TITAN Xp,2048 2048,0,335.4748,322.6171,321.0263,395.2272,251.6591,2.0105417,-0.9052828,11
111,diagonal_x,NVIDIA TITAN Xp,2048 2048,9,359.2948,320.8234,320.8151,397.7851,248.8404,1.9243373,-0.85306036,11
112,diagonal_x,NVIDIA TITAN Xp,2048 2048,19,350.4616,312.9038,312.85,387.9096,245.2471,0.73510283,-0.36990693,11
113,diagonal_x,NVIDIA TITAN Xp,2048 2048,29,340.7503,314.2707,312.3575,390.3231,232.463,2.998446,-0.8974223,11
114,diagonal_x,NVIDIA TITAN Xp,2048 2048,39,354.8578,313.758,312.2005,387.4497,237.837,3.8516638,-0.39793763,11
115,diagonal_x,NVIDIA TITAN Xp,2048 2048,49,351.0903,314.2095,315.2297,376.0487,227.0813,4.1206107,0.10417594,11
116,diagonal_x,NVIDIA TITAN Xp,2048 2048,59,262.8349,252.8317,231.0339,281.2678,193.4554,2.5097191,0.08863387,11
117,diagonal_x,NVIDIA TITAN Xp,2048 2048,69,139.589,138.0411,119.9635,143.8447,118.1433,1.0507702,0.42245474,11
118,diagonal_x,NVIDIA TITAN Xp,2048 2048,79,153.3667,149.8141,1.0181,154.9374,119.4439,-0.044663228,0.7587855,11
119,diagonal_x,NVIDIA TITAN Xp,2048 2048,89,212.6899,207.6688,6.5489,212.1831,154.4487,-0.08795895,0.026749006,11
120,diagonal_x,NVIDIA TITAN Xp,2048 2048,99,178.4,174.1368,9.7682,184.661,132.9741,-1.0136932,0.36886895,11
121,diagonal_x,NVIDIA TITAN Xp,512 512,0,741.5042,907.5893,904.2245,555.5247,298.0964,11.285773,-3.4201524,12
122,diagonal_x,NVIDIA TITAN Xp,512 512,9,740.9932,903.8077,901.762,555.4969,296.0174,10.81669,-3.1625712,12
123,diagonal_x,NVIDIA TITAN Xp,512 512,19,739.8201,885.371,886.572,555.3643,292.9991,10.803753,-3.0918295,12
124,diagonal_x,NVIDIA TITAN Xp,512 512,29,738.4652,806.7444,804.4146,555.4969,288.497,9.709722,-2.4810903,12
125,diagonal_x,NVIDIA TITAN Xp,512 512,39,666.3823,659.1697,658.7268,554.3975,257.566,8.446811,-1.5376092,12
126,diagonal_x,NVIDIA TITAN Xp,512 512,49,548.3508,504.6835,504.0323,529.011,274.1995,7.0368257,-0.63146996,12
127,diagonal_x,NVIDIA TITAN Xp,512 512,59,488.3075,435.8799,433.1611,509.9543,264.4362,6.400327,-0.6289702,12
128,diagonal_x,NVIDIA TITAN Xp,512 512,69,494.7115,466.4984,454.2151,548.0143,259.3159,7.3658786,-0.42251387,12
129,diagonal_x,NVIDIA TITAN Xp,512 512,79,529.0166,523.2041,15.8398,538.0596,268.0031,7.271741,-0.16590089,12
130,diagonal_x,NVIDIA TITAN Xp,512 512,89,542.7084,483.807,90.0017,539.5315,247.3564,6.5355225,0.47782332,12
131,diagonal_x,NVIDIA TITAN Xp,512 512,99,543.8951,470.8807,124.6184,539.2405,267.0755,6.898372,0.00054424605,12
132,diagonal_x,Radeon (TM) RX 480 Graphics,1024 1024,0,84.9091,55.6678,55.2071,42.7018,17.0966,-6.392934,-3.8206897,13
133,diagonal_x,Radeon (TM) RX 480 Graphics,1024 1024,9,83.7528,52.5249,52.1885,42.6993,17.1005,-6.9252086,-3.630316,13
134,diagonal_x,Radeon (TM) RX 480 Graphics,1024 1024,19,81.4624,47.8638,47.6931,42.6971,17.1061,-6.6260457,-2.890173,13
135,diagonal_x,Radeon (TM) RX 480 Graphics,1024 1024,29,78.1384,43.3497,43.4344,42.6778,17.1055,-6.8218684,-2.6864371,13
136,diagonal_x,Radeon (TM) RX 480 Graphics,1024 1024,39,74.4236,37.8554,37.9514,42.6785,17.1035,-6.634922,-2.6664386,13
137,diagonal_x,Radeon (TM) RX 480 Graphics,1024 1024,49,69.2924,34.9412,34.1495,42.6492,17.0963,-7.1293383,-2.6425157,13
138,diagonal_x,Radeon (TM) RX 480 Graphics,1024 1024,59,56.3889,27.7577,26.8444,42.574,17.0989,-6.7509212,-2.3990579,13
139,diagonal_x,Radeon (TM) RX 480 Graphics,1024 1024,69,36.2674,16.3811,15.8409,33.1724,16.5994,-7.067543,-2.724432,13
140,diagonal_x,Radeon (TM) RX 480 Graphics,1024 1024,79,40.8488,20.0045,0.4995,32.697,15.7882,-6.936453,-2.537727,13
141,diagonal_x,Radeon (TM) RX 480 Graphics,1024 1024,89,48.3966,24.4702,2.9282,36.545,16.5831,-6.5564084,-3.0026264,13
142,diagonal_x,Radeon (TM) RX 480 Graphics,1024 1024,99,44.7744,23.4551,4.4002,34.4592,16.1137,-7.360693,-2.647433,13
143,diagonal_x,Radeon (TM) RX 480 Graphics,2048 2048,0,69.0141,33.8502,33.7243,42.5836,17.0908,-6.9156094,-3.4581947,14
