id,camera_path,device,viewport,timestep,ao-NA-1-NA,ao-NA-5-NA,pathtracer-NA-NA-10,pathtracer-NA-NA-5,scivis-false-1-NA,scivis-false-5-NA,scivis-true-1-NA,scivis-true-5-NA,umap_x,umap_y,seq
45,complex-streamlines,AMD Ryzen 7 1800X,1024,1,53.821,40.174,28.0519,29.4137,53.0856,38.6038,50.0383,37.0074,4.185516,3.4548063,5
46,complex-streamlines,AMD Ryzen 7 1800X,1024,2,53.2805,39.686,27.5083,29.2884,52.6252,38.1942,49.6465,35.7678,4.4798307,2.7239392,5
47,complex-streamlines,AMD Ryzen 7 1800X,1024,3,53.0681,39.1152,27.4555,28.9148,52.3813,37.8417,49.4245,36.1992,4.4647098,3.1215167,5
48,complex-streamlines,AMD Ryzen 7 1800X,1024,4,52.9028,39.2867,27.4826,29.1423,52.6443,37.5333,49.9658,36.3397,3.9982936,3.542233,5
49,complex-streamlines,AMD Ryzen 7 1800X,1024,5,53.3809,39.7429,27.7577,29.355,52.7771,38.3387,50.8187,37.1517,4.2860975,3.3735867,5
50,complex-streamlines,AMD Ryzen 7 1800X,1024,6,54.0301,39.997,28.0818,29.8967,53.3715,38.8644,51.9044,38.2441,4.52282,3.6697896,5
51,complex-streamlines,AMD Ryzen 7 1800X,1024,7,53.67,39.8767,27.8447,29.6209,53.0181,38.5104,51.8885,37.9763,4.410077,3.5510125,5
52,complex-streamlines,AMD Ryzen 7 1800X,1024,8,52.7504,38.6353,26.6994,28.7311,52.0367,37.0791,51.4999,36.8033,4.164583,3.4455764,5
53,complex-streamlines,AMD Ryzen 7 1800X,1024,9,51.8949,37.6883,26.1153,28.0385,51.3463,36.1876,50.6735,36.1325,3.9472682,3.3256757,5
54,complex-streamlines,AMD Ryzen 7 1800X,1024,10,51.3289,36.8844,25.8135,27.7249,50.605,35.4898,50.1867,35.2268,4.0717287,2.9968007,5
55,complex-streamlines,AMD Ryzen 7 1800X,2048,0,13.8034,10.3379,7.2263,7.6285,13.6637,10.0009,12.8876,9.6051,2.409727,-3.6994362,6
56,complex-streamlines,AMD Ryzen 7 1800X,2048,1,13.7224,10.2205,7.1823,7.5767,13.5557,9.9156,12.7926,9.4863,2.9388454,-3.261861,6
57,complex-streamlines,AMD Ryzen 7 1800X,2048,2,13.5375,10.1578,7.1002,7.5271,13.4354,9.7834,12.6613,9.3622,2.5934482,-3.3517213,6
58,complex-streamlines,AMD Ryzen 7 1800X,2048,3,13.524,9.962,7.0174,7.4063,13.152,9.701,12.628,9.2465,2.8865092,-3.2873683,6
59,complex-streamlines,AMD Ryzen 7 1800X,2048,4,13.5707,10.0258,7.0558,7.4415,13.3978,9.698,12.8016,9.3576,3.2904336,-2.5290797,6
60,complex-streamlines,AMD Ryzen 7 1800X,2048,5,13.6766,10.1467,7.1113,7.5279,13.5184,9.7639,12.9899,9.4893,3.0740962,-2.5511405,6
61,complex-streamlines,AMD Ryzen 7 1800X,2048,6,13.8229,10.2547,7.2214,7.637,13.6267,9.949,13.2563,9.7486,3.956618,-1.232572,6
62,complex-streamlines,AMD Ryzen 7 1800X,2048,7,13.6621,10.2285,7.1533,7.5919,13.5252,9.8333,13.2759,9.7147,3.5736866,-1.4539986,6
63,complex-streamlines,AMD Ryzen 7 1800X,2048,8,13.3944,9.8901,6.9507,7.3664,13.2563,9.5403,13.093,9.4497,4.2837634,-0.42321005,6
64,complex-streamlines,AMD Ryzen 7 1800X,2048,9,13.2355,9.6011,6.7426,7.1918,13.0738,9.2717,12.9535,9.2008,3.995212,-0.02895448,6
65,complex-streamlines,AMD Ryzen 7 1800X,2048,10,13.0682,9.3823,6.6335,7.1055,12.9623,9.0724,12.8717,9.0523,4.7460694,0.26404893,6
66,complex-streamlines,AMD Ryzen 9 3900X,512,0,415.5844,325.4869,217.6714,234.9464,411.3026,311.7703,391.2884,302.549,4.0177393,4.487955,7
67,complex-streamlines,AMD Ryzen 9 3900X,512,1,413.3734,321.8632,212.5155,230.8456,408.1066,309.4912,388.4445,296.2585,3.9138951,4.185865,7
68,complex-streamlines,AMD Ryzen 9 3900X,512,2,410.5158,318.8511,209.879,227.7194,406.6942,305.559,384.6035,292.9476,4.1034956,4.2687078,7
69,complex-streamlines,AMD Ryzen 9 3900X,512,3,407.6325,314.2608,207.4801,223.9551,402.7841,301.3083,383.0522,289.029,3.932218,4.180965,7
70,complex-streamlines,AMD Ryzen 9 3900X,512,4,409.0414,316.2785,205.1602,224.4059,405.5232,302.7413,387.4903,292.7606,4.297648,4.0928364,7
71,complex-streamlines,AMD Ryzen 9 3900X,512,5,411.5108,317.5269,207.5528,226.0541,405.5643,303.5067,392.4585,302.176,3.7203636,3.7548275,7
72,complex-streamlines,AMD Ryzen 9 3900X,512,6,414.4666,324.5647,210.3151,228.6676,406.6578,309.5036,398.5381,301.8503,4.137697,3.677238,7
73,complex-streamlines,AMD Ryzen 9 3900X,512,7,405.3786,320.3239,203.4845,226.7101,390.9182,305.4414,399.4248,301.0942,4.088786,3.7303102,7
74,complex-streamlines,AMD Ryzen 9 3900X,512,8,407.6059,312.142,205.9732,225.2755,402.502,299.6632,396.4651,296.6901,4.08756,3.728673,7
75,complex-streamlines,AMD Ryzen 9 3900X,512,9,400.9736,306.9509,202.6507,221.5433,397.4279,294.0839,395.7763,289.1895,4.473607,4.05601,7
76,complex-streamlines,AMD Ryzen 9 3900X,512,10,398.8131,301.0534,201.5349,219.5978,395.1133,288.0292,392.04,287.6266,4.3703036,3.539733,7
77,complex-streamlines,AMD Ryzen 9 3900X,1024,0,115.2787,90.6618,63.614,66.4876,114.2763,87.9229,108.4658,84.3277,3.822787,4.7865467,8
78,complex-streamlines,AMD Ryzen 9 3900X,1024,1,113.924,89.9734,62.7089,66.4858,113.8771,87.0799,108.5138,83.5841,3.6039698,4.5834136,8
79,complex-streamlines,AMD Ryzen 9 3900X,1024,2,113.7581,89.3823,62.2061,65.6689,112.8323,86.1683,107.2666,80.4648,3.8876095,4.623181,8
80,complex-streamlines,AMD Ryzen 9 3900X,1024,3,112.9923,88.5105,61.6884,65.5115,111.3112,85.0666,107.1779,81.9625,3.6924503,4.236932,8
81,complex-streamlines,AMD Ryzen 9 3900X,1024,4,113.8159,89.2945,61.8146,65.6586,112.4772,85.4234,107.6226,82.9862,4.2963076,4.2804394,8
82,complex-streamlines,AMD Ryzen 9 3900X,1024,5,113.7923,90.177,61.9771,65.9822,113.5989,86.5142,109.8404,84.2325,3.7714798,4.2981424,8
83,complex-streamlines,AMD Ryzen 9 3900X,1024,6,115.0523,90.9918,63.0227,66.8852,114.0866,87.8202,111.5204,85.9587,3.845889,4.239143,8
84,complex-streamlines,AMD Ryzen 9 3900X,1024,7,114.5625,90.6372,62.3854,66.5332,114.2964,87.2334,112.0225,85.9631,3.6027842,4.027659,8
85,complex-streamlines,AMD Ryzen 9 3900X,1024,8,113.2799,87.7701,59.0005,64.6041,112.1808,84.5501,110.6585,83.2397,4.1810904,4.2270303,8
86,complex-streamlines,AMD Ryzen 9 3900X,1024,9,111.6633,85.6502,59.4036,63.9411,110.8402,82.2598,109.7246,82.176,4.174244,4.1881576,8
