id,camera_path,device,viewport,timestep,ao-NA-1-NA,ao-NA-5-NA,pathtracer-NA-NA-10,pathtracer-NA-NA-5,scivis-false-1-NA,scivis-false-5-NA,scivis-true-1-NA,scivis-true-5-NA,umap_x,umap_y,seq
58,complex-vdb-volume,AMD Ryzen 7 1800X,2048,3,8.5504,8.2356,2.0604,2.2795,8.6351,8.6371,7.8673,7.8751,-0.73034734,-3.1777835,6
59,complex-vdb-volume,AMD Ryzen 7 1800X,2048,4,8.5842,8.3251,2.1648,2.3849,8.6827,8.676,8.009,8.0075,-1.4606513,-2.8983355,6
60,complex-vdb-volume,AMD Ryzen 7 1800X,2048,5,8.8211,8.5499,2.4463,2.6928,8.8562,8.8533,8.2859,8.2963,-1.519834,-3.0568419,6
61,complex-vdb-volume,AMD Ryzen 7 1800X,2048,6,8.9816,8.8614,2.9403,3.2119,8.9543,8.9722,8.753,8.7439,-1.8605275,-2.7419946,6
62,complex-vdb-volume,AMD Ryzen 7 1800X,2048,7,8.8148,8.7949,2.9789,3.2604,8.8673,8.7267,8.7359,8.8791,-2.34997,-2.385462,6
63,complex-vdb-volume,AMD Ryzen 7 1800X,2048,8,8.6705,8.4135,2.7609,3.0434,8.6878,8.7547,8.6982,8.7374,-2.7832482,-1.947327,6
64,complex-vdb-volume,AMD Ryzen 7 1800X,2048,9,8.4447,8.0076,2.5463,2.8141,8.541,8.5271,8.5391,8.5385,-2.8457706,-1.7797842,6
65,complex-vdb-volume,AMD Ryzen 7 1800X,2048,10,8.2635,7.7417,2.6303,2.9424,8.4072,8.3665,8.3779,8.3763,-2.842007,-1.4228672,6
66,complex-vdb-volume,AMD Ryzen 9 3900X,512,0,312.6505,309.3552,89.6539,98.495,311.886,313.9826,300.0633,300.6361,-6.981384,4.5541205,7
67,complex-vdb-volume,AMD Ryzen 9 3900X,512,1,310.6198,304.4511,82.2247,90.4372,311.8023,312.0602,290.4461,291.6821,-6.9325223,4.3906474,7
68,complex-vdb-volume,AMD Ryzen 9 3900X,512,2,298.1337,290.8084,70.2011,77.7569,300.0732,300.9284,273.8616,274.4704,-6.8288207,4.747753,7
69,complex-vdb-volume,AMD Ryzen 9 3900X,512,3,294.6645,284.7964,62.4395,71.3012,295.38,296.5537,266.856,266.1783,-7.240812,4.69411,7
70,complex-vdb-volume,AMD Ryzen 9 3900X,512,4,295.1089,288.4446,67.2355,74.4175,297.4217,297.4668,270.0338,270.5598,-6.8417807,4.369832,7
71,complex-vdb-volume,AMD Ryzen 9 3900X,512,5,302.0701,295.8177,75.8875,84.0477,302.4831,303.1295,280.3877,281.6441,-7.0838656,4.1106343,7
72,complex-vdb-volume,AMD Ryzen 9 3900X,512,6,306.8172,304.9283,90.4863,98.4184,307.6507,308.3479,299.197,299.2704,-6.6003885,3.9995847,7
73,complex-vdb-volume,AMD Ryzen 9 3900X,512,7,303.4837,301.711,91.612,100.6503,303.503,304.4882,304.2223,305.0334,-6.804844,4.2078,7
74,complex-vdb-volume,AMD Ryzen 9 3900X,512,8,296.7623,289.6284,84.8421,93.719,298.0804,298.4415,297.6864,297.0338,-6.7796082,3.6263962,7
75,complex-vdb-volume,AMD Ryzen 9 3900X,512,9,288.9422,278.1579,78.0902,87.3248,290.2488,294.9557,290.7881,291.6345,-6.291393,3.590482,7
76,complex-vdb-volume,AMD Ryzen 9 3900X,512,10,281.0528,267.6244,81.1781,91.0539,284.9945,284.4554,284.8435,284.5144,-6.0919576,3.5667014,7
77,complex-vdb-volume,AMD Ryzen 9 3900X,1024,0,84.2169,83.2244,24.5707,26.9432,84.3967,84.4687,80.8349,80.8492,-6.8016562,4.264011,8
78,complex-vdb-volume,AMD Ryzen 9 3900X,1024,1,83.7809,82.2889,22.2615,24.6444,84.3562,83.724,78.1855,78.2889,-6.8067613,3.9156215,8
79,complex-vdb-volume,AMD Ryzen 9 3900X,1024,2,80.4104,78.5947,18.8058,20.9313,80.827,80.8911,73.6464,73.4177,-6.5928836,4.3549232,8
80,complex-vdb-volume,AMD Ryzen 9 3900X,1024,3,79.4477,76.8421,17.141,18.9939,79.6959,79.7938,71.4684,71.5067,-6.948661,4.278364,8
81,complex-vdb-volume,AMD Ryzen 9 3900X,1024,4,79.6216,77.6953,18.073,19.9814,79.993,80.2285,72.6,72.571,-7.191113,4.354596,8
82,complex-vdb-volume,AMD Ryzen 9 3900X,1024,5,81.3921,79.576,20.6874,22.596,81.8847,81.8907,75.8973,75.978,-7.260042,4.3104763,8
83,complex-vdb-volume,AMD Ryzen 9 3900X,1024,6,82.982,82.4097,24.748,27.2227,83.2799,83.4641,81.015,80.8238,-7.0915213,3.699381,8
84,complex-vdb-volume,AMD Ryzen 9 3900X,1024,7,82.2856,81.213,25.0202,27.4801,82.3262,82.3398,82.4185,82.4994,-6.667013,3.8048475,8
85,complex-vdb-volume,AMD Ryzen 9 3900X,1024,8,79.6546,77.9429,23.1504,25.6508,80.6367,80.3226,80.501,80.4745,-6.5000715,3.9219444,8
86,complex-vdb-volume,AMD Ryzen 9 3900X,1024,9,77.6862,75.0801,21.3423,23.72,78.2718,78.5423,78.4646,78.4344,-5.8586283,3.286835,8
87,complex-vdb-volume,AMD Ryzen 9 3900X,1024,10,75.8242,72.0062,22.1348,24.3858,76.9225,76.8858,76.7524,76.5879,-5.7814126,3.3352525,8
88,complex-vdb-volume,AMD Ryzen 9 3900X,2048,0,21.566,21.3374,6.3153,6.9631,21.6191,21.6851,20.7403,20.7631,-4.7908998,-1.9566777,9
89,complex-vdb-volume,AMD Ryzen 9 3900X,2048,1,21.3919,21.0399,5.7187,6.3139,21.6114,21.4902,20.1202,20.1058,-4.984589,-1.3836768,9
90,complex-vdb-volume,AMD Ryzen 9 3900X,2048,2,20.6412,20.0885,4.8459,5.3602,20.8088,20.7897,18.9226,18.9637,-5.450007,-1.1273319,9
91,complex-vdb-volume,AMD Ryzen 9 3900X,2048,3,20.2753,19.7099,4.4154,4.89,20.3574,20.4359,18.3301,18.3225,-5.5709367,-0.7946117,9
92,complex-vdb-volume,AMD Ryzen 9 3900X,2048,4,20.3919,19.8527,4.6294,5.1262,20.5847,20.5969,18.6104,18.618,-5.389989,-0.22773561,9
93,complex-vdb-volume,AMD Ryzen 9 3900X,2048,5,20.8411,20.3822,5.2986,5.8131,20.8682,20.9603,19.4811,18.9737,-5.5199223,0.20810413,9
94,complex-vdb-volume,AMD Ryzen 9 3900X,2048,6,21.1969,21.0393,6.3853,7.02,21.304,21.3359,20.7125,20.662,-5.462736,0.24748215,9
95,complex-vdb-volume,AMD Ryzen 9 3900X,2048,7,20.4237,20.825,6.4801,6.8491,21.1299,20.8278,21.1021,21.0652,-4.5560102,-0.16358364,9
96,complex-vdb-volume,AMD Ryzen 9 3900X,2048,8,20.4741,20.0171,5.9892,6.6362,20.6116,20.6064,20.626,20.5771,-4.560716,0.39755866,9
97,complex-vdb-volume,AMD Ryzen 9 3900X,2048,9,19.9154,19.1875,5.4982,6.1447,20.1652,20.1272,20.1972,20.1937,-3.7669528,-0.5829048,9
98,complex-vdb-volume,AMD Ryzen 9 3900X,2048,10,19.4719,18.5089,5.7073,6.3855,19.793,19.7708,19.8249,19.7691,-3.7113273,-0.35798514,9
99,complex-vdb-volume,Intel Core i5-7500,512,0,99.8492,98.2453,29.8625,30.9296,94.4465,101.411,94.8083,96.2584,-6.9658256,4.4886537,10
100,complex-vdb-volume,Intel Core i5-7500,512,1,99.3552,97.5286,27.0846,28.7392,99.683,99.0011,91.9481,89.1099,-6.6825376,3.9190655,10
101,complex-vdb-volume,Intel Core i5-7500,512,2,94.2836,92.7231,22.6193,24.8793,95.6124,93.3794,86.3096,83.5694,-6.488267,4.303457,10
102,complex-vdb-volume,Intel Core i5-7500,512,3,94.1522,90.5453,20.3546,23.0371,89.798,93.4396,84.2588,81.6193,-6.78218,4.141848,10
103,complex-vdb-volume,Intel Core i5-7500,512,4,91.2109,90.7878,21.7098,23.8926,93.9779,94.6145,83.9631,84.7961,-7.212579,4.2628345,10
104,complex-vdb-volume,Intel Core i5-7500,512,5,91.835,96.6426,24.5345,26.8819,97.8081,96.8729,88.7296,87.7524,-6.96419,4.325028,10
105,complex-vdb-volume,Intel Core i5-7500,512,6,93.3288,97.7565,29.3679,32.3718,99.1355,94.9253,93.0917,88.9775,-7.008232,3.8119876,10
106,complex-vdb-volume,Intel Core i5-7500,512,7,97.7555,95.48,29.7526,33.1353,96.5242,98.4145,95.7323,98.7654,-6.935545,3.9454901,10
107,complex-vdb-volume,Intel Core i5-7500,512,8,95.4946,90.967,27.8388,30.4745,93.1029,93.9091,93.0821,95.4526,-6.67396,3.8625731,10
108,complex-vdb-volume,Intel Core i5-7500,512,9,89.9402,88.2138,26.2663,28.5794,87.5749,83.439,91.4294,92.6072,-5.881456,3.5783725,10
109,complex-vdb-volume,Intel Core i5-7500,512,10,88.9521,83.9899,27.3534,29.9371,77.6253,86.8372,89.3543,92.1268,-6.050295,3.4098334,10
110,complex-vdb-volume,Intel Core i5-7500,1024,0,25.6238,24.8658,7.5315,8.2389,25.6949,25.4241,24.8223,24.301,-5.0385723,-1.6705629,11
111,complex-vdb-volume,Intel Core i5-7500,1024,1,25.4813,24.9813,6.788,7.6529,25.3065,24.9828,22.7399,23.2419,-5.232665,-0.97293115,11
112,complex-vdb-volume,Intel Core i5-7500,1024,2,25.0566,23.7689,5.4331,6.5226,24.0937,24.588,21.7235,22.23,-5.6676283,-0.70761955,11
113,complex-vdb-volume,Intel Core i5-7500,1024,3,23.8234,23.1663,5.3186,5.9176,23.7138,23.7838,21.46,21.6919,-5.7251096,-0.51544887,11
114,complex-vdb-volume,Intel Core i5-7500,1024,4,24.5674,21.0179,5.5996,6.1593,23.6651,23.5429,21.6892,21.7874,-5.543605,-0.03823981,11
115,complex-vdb-volume,Intel Core i5-7500,1024,5,24.8159,23.5666,6.4479,6.9879,24.3027,24.7692,23.1153,22.8257,-5.5906277,0.45862758,11
116,complex-vdb-volume,Intel Core i5-7500,1024,6,25.2072,24.8449,7.4309,8.3594,23.7638,24.9478,21.5264,24.6305,-5.283156,0.5671359,11
117,complex-vdb-volume,Intel Core i5-7500,1024,7,25.2835,24.369,7.3612,8.5166,24.9246,24.3478,24.3514,24.7859,-4.8017697,0.20505743,11
118,complex-vdb-volume,Intel Core i5-7500,1024,8,24.1545,23.7998,7.2006,7.8486,24.7017,24.4573,24.3169,23.8917,-4.8108015,0.8288914,11
119,complex-vdb-volume,Intel Core i5-7500,1024,9,22.5478,22.4464,6.4984,7.3807,23.479,23.3845,24.1675,23.6689,-3.8863008,-0.36375934,11
120,complex-vdb-volume,Intel Core i5-7500,1024,10,22.74,21.5724,6.9466,7.7698,23.3798,23.1925,23.1319,22.9972,-3.9440293,-0.06907832,11
121,complex-vdb-volume,Intel Core i5-7500,2048,0,6.5202,6.1544,1.9375,2.076,6.4249,6.2968,5.9814,6.1976,0.59537256,-2.1420355,12
122,complex-vdb-volume,Intel Core i5-7500,2048,1,6.3343,6.1222,1.7406,1.8976,6.2365,5.958,5.8286,6.0014,0.2640481,-2.4853084,12
123,complex-vdb-volume,Intel Core i5-7500,2048,2,6.2171,6.0999,1.465,1.6095,6.2212,5.7954,5.5607,5.4875,0.2664122,-2.8110116,12
124,complex-vdb-volume,Intel Core i5-7500,2048,3,5.5208,5.9517,1.3426,1.5029,5.9619,6.0868,5.4999,5.365,0.18117891,-3.2015855,12
125,complex-vdb-volume,Intel Core i5-7500,2048,4,6.2337,5.8856,1.4123,1.5231,6.0879,5.999,5.4445,5.3974,-0.7303403,-3.024421,12
126,complex-vdb-volume,Intel Core i5-7500,2048,5,6.1941,6.106,1.6312,1.7718,5.6985,6.2296,5.6561,5.8305,-0.98826027,-3.1151073,12
127,complex-vdb-volume,Intel Core i5-7500,2048,6,6.3308,6.0806,1.8016,2.0296,6.0789,6.2186,6.1239,6.0989,-1.5085311,-2.8826764,12
128,complex-vdb-volume,Intel Core i5-7500,2048,7,6.1634,6.0503,1.9907,2.0452,6.1296,6.336,6.2125,6.1492,-0.83524007,-2.7427504,12
129,complex-vdb-volume,Intel Core i5-7500,2048,8,6.2176,5.9786,1.7916,1.9809,6.0483,6.0562,5.7286,6.0616,-1.1020433,-2.388895,12
130,complex-vdb-volume,Intel Core i5-7500,2048,9,5.8651,5.608,1.6446,1.8863,5.9358,6.0761,5.9395,5.9329,0.22410117,-2.324861,12
131,complex-vdb-volume,Intel Core i5-7500,2048,10,5.8004,5.4622,1.746,1.9438,5.921,5.7792,5.6802,5.4319,0.7728983,-2.4568622,12
132,complex-vdb-volume,Intel Core i7-8565U,512,0,86.0926,82.5655,23.4015,29.541,93.1645,89.7876,73.8738,88.397,-6.723881,4.2350225,13
133,complex-vdb-volume,Intel Core i7-8565U,512,1,80.3342,90.6528,25.9636,25.8304,85.3279,88.3189,86.3565,82.0621,-6.653311,3.777481,13
134,complex-vdb-volume,Intel Core i7-8565U,512,2,85.047,69.2439,20.4398,24.4764,89.3983,89.7521,71.8107,58.979,-6.4531093,4.4261317,13
135,complex-vdb-volume,Intel Core i7-8565U,512,3,84.0746,85.1985,17.2859,19.7411,87.6194,84.3839,73.8874,79.552,-6.908734,4.3174453,13
136,complex-vdb-volume,Intel Core i7-8565U,512,4,88.6446,85.8679,21.0788,23.3678,84.508,84.6253,76.5503,73.5186,-7.2257195,4.284834,13
137,complex-vdb-volume,Intel Core i7-8565U,512,5,86.488,88.3673,24.0607,24.2564,89.4975,80.2465,82.9077,83.6134,-7.2643886,4.3635044,13
138,complex-vdb-volume,Intel Core i7-8565U,512,6,88.0104,91.462,25.5189,31.2215,91.3217,89.6708,88.2566,89.1385,-7.296888,3.8610737,13
139,complex-vdb-volume,Intel Core i7-8565U,512,7,73.5294,90.19,27.7396,31.7137,90.6775,90.19,78.6262,88.9252,-7.0524807,4.04662,13
140,complex-vdb-volume,Intel Core i7-8565U,512,8,89.2929,78.7668,27.0021,28.3699,82.4994,79.6381,83.9497,84.863,-6.6005054,3.9459925,13
141,complex-vdb-volume,Intel Core i7-8565U,512,9,86.1,65.6685,23.1844,27.6841,85.9978,71.9968,82.1612,75.2061,-5.8050637,3.418812,13
142,complex-vdb-volume,Intel Core i7-8565U,512,10,83.8097,79.5089,25.7923,26.3988,84.9719,84.7364,84.6138,81.0209,-6.11514,3.0999331,13
143,complex-vdb-volume,Intel Core i7-8565U,1024,0,22.6717,20.0822,6.4371,7.7042,21.7682,17.8325,20.9752,21.7707,-4.8105736,-1.8481165,14
144,complex-vdb-volume,Intel Core i7-8565U,1024,1,23.544,20.8832,6.6831,7.1645,18.024,23.4683,19.9956,22.0629,-5.0541477,-1.0822293,14
145,complex-vdb-volume,Intel Core i7-8565U,1024,2,18.9003,21.1763,5.7075,5.7945,21.3167,22.93,19.9175,19.9024,-5.457389,-1.0378289,14
146,complex-vdb-volume,Intel Core i7-8565U,1024,3,22.6052,21.6251,5.2179,5.7866,21.8382,20.7361,19.2725,19.4062,-5.697799,-0.5923894,14
147,complex-vdb-volume,Intel Core i7-8565U,1024,4,22.5943,16.8988,5.1769,6.1197,21.4561,21.2751,17.313,19.5073,-5.2959695,-0.28796116,14
148,complex-vdb-volume,Intel Core i7-8565U,1024,5,23.1339,22.5591,5.8985,6.4084,21.4487,23.0652,21.5686,18.6556,-5.450016,0.118212916,14
149,complex-vdb-volume,Intel Core i7-8565U,1024,6,22.5865,21.8589,6.6272,8.0554,21.1332,23.1242,20.0036,20.504,-5.264134,0.3470255,14
150,complex-vdb-volume,Intel Core i7-8565U,1024,7,23.1568,22.7496,6.3738,7.8753,22.9187,17.797,22.907,22.6153,-4.7318506,0.0019195507,14
151,complex-vdb-volume,Intel Core i7-8565U,1024,8,22.6534,19.8612,6.9006,7.6366,22.0782,20.0569,22.6196,22.6138,-4.5473275,0.45379606,14
152,complex-vdb-volume,Intel Core i7-8565U,1024,9,22.0586,20.9017,5.6149,7.1095,21.0833,22.2054,21.2345,20.9354,-3.7686698,-0.54139954,14
153,complex-vdb-volume,Intel Core i7-8565U,1024,10,21.6325,20.399,6.262,6.7124,21.6452,20.8094,21.1115,21.7098,-3.8064408,-0.27500215,14
154,complex-vdb-volume,Intel Core i7-8565U,2048,0,6.0552,5.8636,1.8738,1.9813,5.1735,5.8807,5.7273,5.6048,0.9665995,-1.9178172,15
155,complex-vdb-volume,Intel Core i7-8565U,2048,1,5.6776,5.796,1.6715,1.852,5.8607,4.207,5.6298,5.5547,0.4508215,-2.3902733,15
156,complex-vdb-volume,Intel Core i7-8565U,2048,2,4.8001,5.5624,1.3753,1.5342,5.1406,5.706,4.6635,5.2672,0.40962037,-2.628437,15
157,complex-vdb-volume,Intel Core i7-8565U,2048,3,5.5922,4.6768,1.2831,1.2463,5.639,5.6628,5.1166,4.8937,0.8255695,-2.9510798,15
158,complex-vdb-volume,Intel Core i7-8565U,2048,4,5.1301,5.4689,1.3754,1.4229,5.6816,4.5304,4.9586,4.3826,-0.34651005,-2.989887,15
159,complex-vdb-volume,Intel Core i7-8565U,2048,5,5.2914,5.6431,1.2995,1.756,5.1406,5.5031,4.4257,4.5023,-0.66063046,-3.1826944,15
